"Name","Kind","CurrentPath","SurfaceRole","Status","HasReadme","HasMapa","Risk","Reason","LastWriteTime","Size"
"AGENTS.md","file","C:\Users\enzo1\PROJEC CDX\AGENTS.md","local-instructions","OK","False","False","low","Top-level PROJEC CDX file.","2026-06-14T22:35:35","1132"
"atomic","folder","C:\Users\enzo1\PROJEC CDX\atomic","atomic-contract","OK","True","True","low","Top-level PROJEC CDX surface.","2026-06-14T22:56:48",""
"dataverse","folder","C:\Users\enzo1\PROJEC CDX\dataverse","dataverse-governance","OK","True","True","low","Top-level PROJEC CDX surface.","2026-06-14T23:31:01",""
"docs","folder","C:\Users\enzo1\PROJEC CDX\docs","documentation","OK","True","True","low","Top-level PROJEC CDX surface.","2026-06-14T22:53:48",""
"hitos","folder","C:\Users\enzo1\PROJEC CDX\hitos","versioned-milestones","OK","True","True","low","Top-level PROJEC CDX surface.","2026-06-14T22:56:48",""
"inventarios","folder","C:\Users\enzo1\PROJEC CDX\inventarios","inventory","OK","True","True","low","Top-level PROJEC CDX surface.","2026-06-14T23:33:37",""
"MAPA_MAESTRO.md","file","C:\Users\enzo1\PROJEC CDX\MAPA_MAESTRO.md","master-map","OK","False","False","low","Top-level PROJEC CDX file.","2026-06-14T23:29:26","4037"
"node_modules","folder","C:\Users\enzo1\PROJEC CDX\node_modules","dependency","EXCLUDED_DEPENDENCY","False","False","low-generated","Dependency surface; not governed as work artifact.","2026-06-13T16:56:48",""
"operativa","folder","C:\Users\enzo1\PROJEC CDX\operativa","control-plane","OK","True","True","low","Top-level PROJEC CDX surface.","2026-06-14T23:24:00",""
"outputs","folder","C:\Users\enzo1\PROJEC CDX\outputs","generated-outputs","OK","True","True","low","Top-level PROJEC CDX surface.","2026-06-14T23:15:10",""
"packages","folder","C:\Users\enzo1\PROJEC CDX\packages","compressed-packages","OK","True","True","low","Top-level PROJEC CDX surface.","2026-06-14T22:50:20",""
"playbooks","folder","C:\Users\enzo1\PROJEC CDX\playbooks","execution-playbooks","OK","True","True","low","Top-level PROJEC CDX surface.","2026-06-14T23:25:49",""
"README.md","file","C:\Users\enzo1\PROJEC CDX\README.md","visible-entry","OK","False","False","low","Top-level PROJEC CDX file.","2026-06-14T23:29:26","2064"
"tools","folder","C:\Users\enzo1\PROJEC CDX\tools","local-tools","OK","True","True","low","Top-level PROJEC CDX surface.","2026-06-14T23:15:10",""
"workbooks","folder","C:\Users\enzo1\PROJEC CDX\workbooks","live-workbooks","OK","True","True","low","Top-level PROJEC CDX surface.","2026-06-14T23:32:49",""
