"captured_at_local","tenant_id","surface","site_id","site_url","list_id","list_display_name","list_name","template","classification","source"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","7dd495b7-62a4-4825-b0dd-01765b78ba55","OPS_Tickets","OPS_Tickets","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","339d81df-e15f-4904-aea6-0ee7784831ad","PER_Domicilios","PER_Domicilios","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","f0ae3377-176c-42ed-ad48-185f79f2e03b","EXP_Expedientes","EXP_Expedientes","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","dbfeaaab-0780-4559-bb4a-1ed957a37757","Auditoria Planner Escrituración","Auditoria Planner Escrituracin","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","98a2bb85-4d50-4517-a304-239af105a1b8","DOC_Expediente","DOC_Expediente","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","56f9fb3b-c9b2-4906-b3fd-2772d361adf7","Tareas de Minutas","Tareas de Minutas","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","e0b20dba-ba52-4bb0-acb0-2db087a4b0fe","LIB_SANDBOX_OPERATIVO","LIB_SANDBOX_OPERATIVO","documentLibrary","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","95c2ac79-d82e-4376-8ea9-3cee4190001c","ACT_ActoBienes","ACT_ActoBienes","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","65bce476-1325-460e-a10f-3ed5504f1fbd","EXP_Eventos","EXP_Eventos","genericList","confirmada","graph_site_lists"
"2026-06-16T18:04:28-03:00","858a0852-44a1-413e-a0fe-f053949797d6","SGIN","escribaniabitsch.sharepoint.com,a9293a2b-df30-45ed-b80d-d71a86738143,e678d763-1d87-495d-9a3b-0c2eeb56c6d3","https://escribaniabitsch.sharepoint.com/sites/sistema","4f5357ed-2b3b-4313-a116-49287c969d65","Historial Comentarios","Historial Comentarios","genericList","confirmada","graph_site_lists"
