"name","type","path","exists","item_type","has_readme","has_mapa","tracked","notes"
"PROJEC_CDX_ROOT","workbench","C:\Users\enzo1\PROJEC CDX","True","directory","True","False","True",""
"CODEX_HOME","codex_local","C:\Users\enzo1\.codex","True","directory","True","True","False",""
"AGENTS_HOME","agents_local","C:\Users\enzo1\.agents","True","directory","True","True","False",""
"CODEX_CLOUD_ENV","codex_cloud_config","C:\Users\enzo1\PROJEC CDX\.codex\environments\environment.toml","True","file","False","False","True",""
"CODEX_CLOUD_BRIDGE","sdk_bridge","C:\Users\enzo1\PROJEC CDX\src\projec_cdx_cloud\cloud_bridge.py","True","file","False","False","True",""
"CODEX_CLOUD_TASK","cloud_task_prompt","C:\Users\enzo1\PROJEC CDX\operativa\CODEX_CLOUD_SMOKE_TASK_20260617.md","True","file","False","False","True",""
"DATAVERSE_SURFACE","dataverse_local","C:\Users\enzo1\PROJEC CDX\dataverse","True","directory","True","True","True",""
"OPERATIVA_SURFACE","operativa","C:\Users\enzo1\PROJEC CDX\operativa","True","directory","True","True","True",""
"HITOS_SURFACE","hitos","C:\Users\enzo1\PROJEC CDX\hitos","True","directory","True","True","True",""
"INVENTARIOS_SURFACE","inventarios","C:\Users\enzo1\PROJEC CDX\inventarios","True","directory","True","True","True",""
"RECIPES_SURFACE","recipes","C:\Users\enzo1\PROJEC CDX\recipes","True","directory","True","True","True",""
"PROCESOS_SURFACE","procesos","C:\Users\enzo1\PROJEC CDX\procesos","True","directory","True","True","True",""
"PATRONES_SURFACE","patrones","C:\Users\enzo1\PROJEC CDX\patrones","True","directory","True","True","True",""
"TOOLS_SURFACE","tools","C:\Users\enzo1\PROJEC CDX\tools","True","directory","True","True","True",""
