"name","path","kind","branch","head","remote","status_count","status_sample","has_readme","has_agents","has_mapa","has_pyproject","has_package_json"
"Auditar","C:\Users\enzo1\Documents\GitHub\Auditar","folder","","","","","","False","False","False","False","False"
"cabina-universal-d","C:\Users\enzo1\Documents\GitHub\cabina-universal-d","git_repo","main","28baec3","origin https://github.com/universo-rey/cabina-universal-d.git (fetch)","2"," M 02_AUTHORITY_CANON/CURRENT_STATE.md |  M 02_AUTHORITY_CANON/REPO_OPERATING_CONTRACT_CABINA_UNIVERSAL_D_20260604.md","True","True","False","False","False"
"cdf_gate68_solution_clone","C:\Users\enzo1\Documents\GitHub\cdf_gate68_solution_clone","folder","","","","","","False","False","False","False","False"
"cdf-soluciones","C:\Users\enzo1\Documents\GitHub\cdf-soluciones","git_repo","main","211a2de","origin https://github.com/SeshatSgin/cdf-soluciones.git (fetch)","7"," M 00_CONTEXT/CURRENT_STATE.md |  M 00_CONTEXT/START_HERE.md |  M README.md | ?? 03_OPERACION/SESHAT_HOME_BINDING_DELEGATION/ | ?? 03_OPERACION/SESHAT_RESTO_CORTE_DELEGATION/ | ?? 08_EVIDENCIA/2026-06-16_CDF_SESHAT_HOME_BINDING_DELEGATION/","True","True","False","False","False"
"jara-consultores","C:\Users\enzo1\Documents\GitHub\jara-consultores","git_repo","main","96733d7","origin https://github.com/SeshatSgin/jara-consultores.git (fetch)","1"," M README.md","True","True","False","False","False"
"microsoft-agents-governed-lab","C:\Users\enzo1\Documents\GitHub\microsoft-agents-governed-lab","git_repo","main","aa4b759","origin https://github.com/universo-rey/microsoft-agents-governed-lab.git (fetch)","1"," M README.md","True","True","False","False","True"
"modo-on-foundation","C:\Users\enzo1\Documents\GitHub\modo-on-foundation","git_repo","main","c117683","origin https://github.com/SeshatSgin/modo-on-foundation.git (fetch)","1"," M README.md","True","True","False","False","False"
"organizacion","C:\Users\enzo1\Documents\GitHub\organizacion","git_repo","main","fa5e5f6","origin https://github.com/universo-rey/organizacion.git (fetch)","1"," M README.md","True","True","False","True","False"
"sdu-canon","C:\Users\enzo1\Documents\GitHub\sdu-canon","git_repo","main","79f4c7b","origin https://github.com/SeshatSgin/sdu-canon.git (fetch)","1"," M 00_CONTEXT/CURRENT_STATE.md","True","True","False","False","False"
"seshat-bootstrap-sdu-cn","C:\Users\enzo1\Documents\GitHub\seshat-bootstrap-sdu-cn","git_repo","main","23ee0e2","origin https://github.com/SeshatSgin/seshat-bootstrap-sdu-cn.git (fetch)","9"," M README.md |  M workspace/README.md |  M workspace/documents/drafts/README.md | ?? agents/sdu_cn/SDU_CN_CANON_COPILOT_PROMPT.md | ?? workspace/documents/drafts/ACTA_MESA_TRABAJO_CORTE_EJECUTORA_20260616.md | ?? workspace/documents/drafts/APERTURA_MESA_TRABAJO_CORTE_EJECUTORA_20260616.md","True","True","False","False","False"
"Sgin","C:\Users\enzo1\Documents\GitHub\Sgin","git_repo","main","cfb494b","origin https://github.com/universo-rey/Sgin.git (fetch)","2"," M README.md | ?? torres/","True","True","False","False","False"
"Sgin__wt_dictamen_n2","C:\Users\enzo1\Documents\GitHub\Sgin__wt_dictamen_n2","git_repo","","","System.Object[]","0","","True","True","False","False","False"
"Sgin__wt_dictamen_n3_skills","C:\Users\enzo1\Documents\GitHub\Sgin__wt_dictamen_n3_skills","git_repo","","","System.Object[]","0","","True","True","False","False","False"
"Sgin__wt_memory_hygiene","C:\Users\enzo1\Documents\GitHub\Sgin__wt_memory_hygiene","git_repo","","","System.Object[]","0","","True","True","False","False","False"
"Sgin__wt_tge_staging","C:\Users\enzo1\Documents\GitHub\Sgin__wt_tge_staging","git_repo","","","System.Object[]","0","","True","True","False","False","False"
"sgin-cumplimiento","C:\Users\enzo1\Documents\GitHub\sgin-cumplimiento","git_repo","main","5edec3c","origin https://github.com/SeshatSgin/sgin-cumplimiento.git (fetch)","1"," M README.md","True","True","False","False","False"
"tcu-agentic-runtime-control","C:\Users\enzo1\Documents\GitHub\tcu-agentic-runtime-control","git_repo","main","20c19f7","origin https://github.com/SeshatSgin/tcu-agentic-runtime-control.git (fetch)","1"," M README.md","True","True","False","False","False"
"tge-agentic-runtime-control-escribania","C:\Users\enzo1\Documents\GitHub\tge-agentic-runtime-control-escribania","git_repo","main","acbb4b7","origin https://github.com/SeshatSgin/tge-agentic-runtime-control-escribania.git (fetch)","1"," M README.md","True","True","False","False","False"
"torre-gemela-escribania","C:\Users\enzo1\Documents\GitHub\torre-gemela-escribania","git_repo","main","3c8f6e1","origin https://github.com/SeshatSgin/torre-gemela-escribania.git (fetch)","1"," M README.md","True","True","False","False","False"
