"Extension","File","Pattern"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\build\assets\index.js","exec"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\constants\Constants.ts","shell"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\node_modules\asynckit\lib\streamify.js","exec"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\node_modules\axios\dist\axios.js","exec"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\node_modules\axios\dist\axios.js","pip"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\node_modules\axios\dist\axios.min.js","exec"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\node_modules\axios\dist\axios.min.js","pip"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\node_modules\axios\lib\adapters\http.js","pip"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\node_modules\axios\lib\cancel\CancelToken.js","exec"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\node_modules\axios\lib\helpers\parseProtocol.js","exec"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\node_modules\axios\lib\utils.js","pip"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\node_modules\axios\index.d.ts","exec"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\node_modules\combined-stream\lib\combined_stream.js","pip"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\node_modules\delayed-stream\lib\delayed_stream.js","pip"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\node_modules\follow-redirects\index.js","exec"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\node_modules\form-data\lib\form_data.js","pip"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\node_modules\mime-types\index.js","exec"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\out\constants\Constants.js","shell"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\out\src\panels\WebViewPanels.js","shell"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\webview-ui\commandsList\build\assets\index.js","exec"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\webview-ui\commandsList\build\assets\index.js","shell"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\webview-ui\docsView\build\assets\index.js","exec"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\webview-ui\docsView\build\assets\index.js","shell"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\webview-ui\docsView\build\assets\index.js","pip"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\webview-ui\samplesView\build\assets\index.js","exec"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\webview-ui\samplesView\build\assets\index.js","shell"
"adamwojcikit.pnp-powershell-extension-3.0.67","C:\Users\enzo1\.vscode\extensions\adamwojcikit.pnp-powershell-extension-3.0.67\webview-ui\samplesView\build\assets\index.js","pip"
"mechatroner.rainbow-csv-3.24.1","C:\Users\enzo1\.vscode\extensions\mechatroner.rainbow-csv-3.24.1\dist\web\test\suite\index.js","spawn"
"mechatroner.rainbow-csv-3.24.1","C:\Users\enzo1\.vscode\extensions\mechatroner.rainbow-csv-3.24.1\dist\web\test\suite\index.js","exec"
"mechatroner.rainbow-csv-3.24.1","C:\Users\enzo1\.vscode\extensions\mechatroner.rainbow-csv-3.24.1\dist\web\test\suite\index.js","pip"
"mechatroner.rainbow-csv-3.24.1","C:\Users\enzo1\.vscode\extensions\mechatroner.rainbow-csv-3.24.1\dist\web\extension.js","spawn"
"mechatroner.rainbow-csv-3.24.1","C:\Users\enzo1\.vscode\extensions\mechatroner.rainbow-csv-3.24.1\dist\web\extension.js","exec"
"mechatroner.rainbow-csv-3.24.1","C:\Users\enzo1\.vscode\extensions\mechatroner.rainbow-csv-3.24.1\dist\web\extension.js","pip"
"mechatroner.rainbow-csv-3.24.1","C:\Users\enzo1\.vscode\extensions\mechatroner.rainbow-csv-3.24.1\rbql_core\rbql-js\cli_rbql.js","pip"
"mechatroner.rainbow-csv-3.24.1","C:\Users\enzo1\.vscode\extensions\mechatroner.rainbow-csv-3.24.1\rbql_core\rbql-js\csv_utils.js","exec"
"mechatroner.rainbow-csv-3.24.1","C:\Users\enzo1\.vscode\extensions\mechatroner.rainbow-csv-3.24.1\rbql_core\rbql-js\rbql.js","exec"
"mechatroner.rainbow-csv-3.24.1","C:\Users\enzo1\.vscode\extensions\mechatroner.rainbow-csv-3.24.1\rbql_core\rbql-js\rbql.js","pip"
"mechatroner.rainbow-csv-3.24.1","C:\Users\enzo1\.vscode\extensions\mechatroner.rainbow-csv-3.24.1\extension.js","spawn"
"mechatroner.rainbow-csv-3.24.1","C:\Users\enzo1\.vscode\extensions\mechatroner.rainbow-csv-3.24.1\extension.js","exec"
"mechatroner.rainbow-csv-3.24.1","C:\Users\enzo1\.vscode\extensions\mechatroner.rainbow-csv-3.24.1\extension.js","child_process"
"mechatroner.rainbow-csv-3.24.1","C:\Users\enzo1\.vscode\extensions\mechatroner.rainbow-csv-3.24.1\extension.js","pip"
"mechatroner.rainbow-csv-3.24.1","C:\Users\enzo1\.vscode\extensions\mechatroner.rainbow-csv-3.24.1\rainbow_utils.js","exec"
"mechatroner.rainbow-csv-3.24.1","C:\Users\enzo1\.vscode\extensions\mechatroner.rainbow-csv-3.24.1\rainbow_utils.js","pip"
"mrbrahmbhatt.security-copilot-snippets-1.5.1","C:\Users\enzo1\.vscode\extensions\mrbrahmbhatt.security-copilot-snippets-1.5.1\out\extension.js","exec"
"mrbrahmbhatt.security-copilot-snippets-1.5.1","C:\Users\enzo1\.vscode\extensions\mrbrahmbhatt.security-copilot-snippets-1.5.1\out\extension.js","pip"
"ms-python.debugpy-2026.6.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.debugpy-2026.6.0-win32-x64\dist\extension.js","spawn"
"ms-python.debugpy-2026.6.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.debugpy-2026.6.0-win32-x64\dist\extension.js","exec"
"ms-python.debugpy-2026.6.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.debugpy-2026.6.0-win32-x64\dist\extension.js","shell"
"ms-python.debugpy-2026.6.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.debugpy-2026.6.0-win32-x64\dist\extension.js","child_process"
"ms-python.debugpy-2026.6.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.debugpy-2026.6.0-win32-x64\dist\extension.js","pip"
"ms-python.debugpy-2026.6.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.debugpy-2026.6.0-win32-x64\dist\extension.js","venv"
"ms-python.python-2026.4.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.python-2026.4.0-win32-x64\dist\extension.browser.js","exec"
"ms-python.python-2026.4.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.python-2026.4.0-win32-x64\dist\extension.browser.js","shell"
"ms-python.python-2026.4.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.python-2026.4.0-win32-x64\dist\extension.browser.js","pip"
"ms-python.python-2026.4.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.python-2026.4.0-win32-x64\out\client\node_modules\unicode\category\Lo.js","pip"
"ms-python.python-2026.4.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.python-2026.4.0-win32-x64\out\client\node_modules\node-stream-zip.js","pip"
"ms-python.python-2026.4.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.python-2026.4.0-win32-x64\out\client\node_modules\source-map-support.js","exec"
"ms-python.python-2026.4.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.python-2026.4.0-win32-x64\out\client\node_modules\sudo-prompt.js","exec"
"ms-python.python-2026.4.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.python-2026.4.0-win32-x64\out\client\node_modules\sudo-prompt.js","shell"
"ms-python.python-2026.4.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.python-2026.4.0-win32-x64\out\client\node_modules\sudo-prompt.js","child_process"
