top_level,files,dirs,bucket
cache,26725,2289,estado
worktrees,16329,3088,estado
.tmp,10132,3289,estado
plugins,2070,1103,soporte
vendor_imports,902,243,soporte
archived_sessions,568,0,estado
sessions,491,65,estado
computer-use-turn-ended,459,103,estado
tmp-appserver-schema,310,2,estado
workpapers,253,33,frente
matrices,240,34,frente
skills,204,151,frente
memories,163,97,soporte
tmp,120,7,estado
attachments,102,116,soporte
hitos,102,19,frente
backups,93,7,soporte
catalogo-local,36,6,frente
skills_backups,20,19,soporte
profiles,15,5,frente
generated_images,9,1,frente
packages,7,7,frente
operativa,7,0,frente
ambient-suggestions,7,5,soporte
rules,6,0,soporte
skills_archived,4,4,estado
app-server-local,4,0,soporte
environment,3,0,frente
process_manager,3,0,soporte
computer-use,3,0,soporte
readbacks,3,1,soporte
automations,3,0,soporte
pets,2,0,soporte
node_repl,1,1,soporte
